/sb/0x83651a62b632c261442f396ad7202fe2a4995e3a.sol
jar:file:/usr/local/lib/node_modules/@smartdec/smartcheck/jdeploy-bundle/smartcheck-2.0-jar-with-dependencies.jar!/solidity-rules.xmlruleId: SOLIDITY_ARRAY_LENGTH_MANIPULATION
patternId: 43ba1c
severity: 1
line: 50
column: 8
content: users.length++

ruleId: SOLIDITY_BALANCE_EQUALITY
patternId: 5094ad
severity: 1
line: 56
column: 15
content: this.balance!=0

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 49bd2a
severity: 1
line: 38
column: 28
content: throw

ruleId: SOLIDITY_DEPRECATED_CONSTRUCTIONS
patternId: 28fa69
severity: 1
line: 71
column: 4
content: functionUserDatabase(uintid)constantreturns(addressAddress,uintPayout,uintPaidOut,uintPayoutLeft,stringinfo){Address=users[id].addr;PaidOut=users[id].paidOut/100finney;PayoutLeft=users[id].payoutLeft/100finney;Payout=(users[id].paidOut+users[id].payoutLeft)/100finney;info='values are shown in a denomination of 100 finneys ( 100 finney = 0.1 ether = minimum input)';}

ruleId: SOLIDITY_EXTRA_GAS_IN_LOOPS
patternId: k4o1l4
severity: 1
line: 56
column: 8
content: while(this.balance!=0){if(users[index].payoutLeft>this.balance){users[index].payoutLeft-=this.balance;users[index].paidOut+=this.balance;users[index].addr.send(this.balance);}else{users[index].paidOut+=users[index].payoutLeft;users[index].addr.send(users[index].payoutLeft);deleteusers[index].payoutLeft;index++;}}

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 16
content: >=

ruleId: SOLIDITY_PRAGMAS_VERSION
patternId: 23fc32
severity: 1
line: 1
column: 24
content: <

ruleId: SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
patternId: 5616b2
severity: 1
line: 9
column: 11
content: private

ruleId: SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
patternId: 5616b2
severity: 1
line: 10
column: 9
content: private

ruleId: SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA
patternId: 5616b2
severity: 1
line: 12
column: 12
content: private

ruleId: SOLIDITY_REVERT_REQUIRE
patternId: c56b12
severity: 1
line: 38
column: 8
content: if(x<100finney)throw;

ruleId: SOLIDITY_SHOULD_RETURN_STRUCT
patternId: 83hf3l
severity: 1
line: 71
column: 51
content: (addressAddress,uintPayout,uintPaidOut,uintPayoutLeft,stringinfo)

ruleId: SOLIDITY_TX_ORIGIN
patternId: 12e802
severity: 2
line: 13
column: 41
content: tx.origin

ruleId: SOLIDITY_TX_ORIGIN
patternId: 12e802
severity: 2
line: 16
column: 28
content: tx.origin

ruleId: SOLIDITY_TX_ORIGIN
patternId: 12e802
severity: 2
line: 21
column: 21
content: tx.origin

ruleId: SOLIDITY_TX_ORIGIN
patternId: 12e802
severity: 2
line: 41
column: 12
content: tx.origin

ruleId: SOLIDITY_TX_ORIGIN
patternId: 12e802
severity: 2
line: 51
column: 39
content: tx.origin

ruleId: SOLIDITY_UNCHECKED_CALL
patternId: f39eed
severity: 3
line: 46
column: 19
content: send(a*25/1000)

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 15
column: 4
content: functionNewFeeAddress(addressnewFeeAddress)execute{if(msg.value!=0)tx.origin.send(msg.value);feeAddress=newFeeAddress;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 20
column: 4
content: functionLittleEthereumDoubler(){feeAddress=tx.origin;}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 24
column: 4
content: function(){Start();}

ruleId: SOLIDITY_VISIBILITY
patternId: 910067
severity: 1
line: 71
column: 4
content: functionUserDatabase(uintid)constantreturns(addressAddress,uintPayout,uintPaidOut,uintPayoutLeft,stringinfo){Address=users[id].addr;PaidOut=users[id].paidOut/100finney;PayoutLeft=users[id].payoutLeft/100finney;Payout=(users[id].paidOut+users[id].payoutLeft)/100finney;info='values are shown in a denomination of 100 finneys ( 100 finney = 0.1 ether = minimum input)';}

SOLIDITY_VISIBILITY :4
SOLIDITY_DEPRECATED_CONSTRUCTIONS :2
SOLIDITY_PRAGMAS_VERSION :2
SOLIDITY_ARRAY_LENGTH_MANIPULATION :1
SOLIDITY_REVERT_REQUIRE :1
SOLIDITY_PRIVATE_MODIFIER_DONT_HIDE_DATA :3
SOLIDITY_EXTRA_GAS_IN_LOOPS :1
SOLIDITY_UNCHECKED_CALL :1
SOLIDITY_SHOULD_RETURN_STRUCT :1
SOLIDITY_TX_ORIGIN :5
SOLIDITY_BALANCE_EQUALITY :1
